,us_states,industry,2019_jobs,2020_jobs,2021_jobs
169,Alabama,    Building material and garden equipment and supplies dealers ,21795.0,23453.0,23973.0
170,Alabama,    Food and beverage stores ,34600.0,35869.0,36771.0
171,Alabama,    Health and personal care stores ,19844.0,18878.0,19679.0
172,Alabama,    Gasoline stations ,20195.0,20131.0,20790.0
173,Alabama,    Clothing and clothing accessories stores ,20146.0,17940.0,18934.0
174,Alabama,"    Sporting goods, hobby, musical instrument, and book stores ",11109.0,10139.0,10754.0
175,Alabama,    General merchandise stores ,59108.0,59249.0,60703.0
176,Alabama,    Miscellaneous store retailers ,23213.0,23229.0,24340.0
177,Alabama,    Nonstore retailers ,19312.0,20701.0,21722.0
178,Alabama,   Transportation and warehousing ,91219.0,98407.0,114131.0
179,Alabama,    Air transportation ,1211.0,1230.0,1178.0
180,Alabama,    Rail transportation ,3048.0,2696.0,
181,Alabama,    Water transportation ,496.0,550.0,498.0
182,Alabama,    Truck transportation ,39392.0,39052.0,39668.0
183,Alabama,    Transit and ground passenger transportation ,8299.0,7289.0,7154.0
184,Alabama,    Pipeline transportation ,638.0,618.0,577.0
185,Alabama,    Scenic and sightseeing transportation ,225.0,215.0,207.0
186,Alabama,    Support activities for transportation ,10073.0,9998.0,10262.0
187,Alabama,    Couriers and messengers ,13280.0,21545.0,
188,Alabama,    Warehousing and storage ,14557.0,15214.0,26362.0
189,Alabama,   Information ,27342.0,25564.0,26182.0
190,Alabama,    Publishing industries (except Internet) ,7058.0,6599.0,6974.0
191,Alabama,    Motion picture and sound recording industries ,2736.0,1746.0,1877.0
192,Alabama,    Broadcasting (except Internet) ,3925.0,3786.0,3664.0
193,Alabama,    Internet publishing and broadcasting 3/,,,
194,Alabama,    Telecommunications ,10094.0,9652.0,9553.0
195,Alabama,"    Data processing, hosting, and related services ",2907.0,2993.0,3183.0
196,Alabama,    Other information services 3/,622.0,788.0,931.0
197,Alabama,   Finance and insurance ,112795.0,120357.0,122797.0
198,Alabama,    Monetary Authorities-central bank ,,,
199,Alabama,    Credit intermediation and related activities ,42357.0,42583.0,42307.0
200,Alabama,"    Securities, commodity contracts, and other financial investments and related activities ",26877.0,32081.0,34639.0
201,Alabama,    Insurance carriers and related activities ,40252.0,41690.0,41481.0
202,Alabama,"    Funds, trusts, and other financial vehicles ",,,
203,Alabama,   Real estate and rental and leasing ,106018.0,118461.0,121883.0
204,Alabama,    Real estate ,96461.0,109364.0,112589.0
205,Alabama,    Rental and leasing services ,9402.0,8927.0,9068.0
206,Alabama,    Lessors of nonfinancial intangible assets (except copyrighted works) ,155.0,170.0,226.0
207,Alabama,"   Professional, scientific, and technical services ",156803.0,158952.0,163399.0
208,Alabama,   Management of companies and enterprises ,19456.0,19567.0,19708.0
209,Alabama,   Administrative and support and waste management and remediation services ,190461.0,180248.0,186837.0
210,Alabama,    Administrative and support services ,184443.0,174117.0,180414.0
211,Alabama,    Waste management and remediation services ,6018.0,6131.0,6423.0
212,Alabama,   Educational services ,42726.0,37462.0,38743.0
213,Alabama,   Health care and social assistance ,259471.0,251816.0,253268.0
214,Alabama,    Ambulatory health care services ,121394.0,118886.0,123276.0
215,Alabama,    Hospitals ,52608.0,52258.0,51531.0
216,Alabama,    Nursing and residential care facilities ,47160.0,43388.0,40333.0
217,Alabama,    Social assistance ,38309.0,37284.0,38128.0
218,Alabama,"   Arts, entertainment, and recreation ",41820.0,37611.0,40054.0
219,Alabama,"    Performing arts, spectator sports, and related industries ",18827.0,17623.0,18453.0
220,Alabama,"    Museums, historical sites, and similar institutions ",1775.0,1182.0,1196.0
221,Alabama,"    Amusement, gambling, and recreation industries ",21218.0,18806.0,20405.0
222,Alabama,   Accommodation and food services ,203534.0,179356.0,189191.0
223,Alabama,    Accommodation ,21307.0,17371.0,18372.0
224,Alabama,    Food services and drinking places ,182227.0,161985.0,170819.0
225,Alabama,   Other services (except government and government enterprises) ,175978.0,170144.0,169715.0
226,Alabama,    Repair and maintenance ,37320.0,36767.0,37670.0
227,Alabama,    Personal and laundry services ,64332.0,63074.0,64027.0
228,Alabama,"    Religious, grantmaking, civic, professional, and similar organizations ",59747.0,57978.0,55593.0
229,Alabama,    Private households ,14579.0,12325.0,12425.0
230,Alabama,  Government and government enterprises ,410163.0,406756.0,407027.0
231,Alabama,   Federal civilian ,54127.0,55961.0,55609.0
232,Alabama,   Military ,28691.0,28575.0,28494.0
233,Alabama,   State and local ,327345.0,322220.0,322924.0
234,Alabama,    State government ,110604.0,111438.0,111130.0
235,Alabama,    Local government ,216741.0,210782.0,211794.0
236,Alaska,Total employment (number of jobs) ,454785.0,430824.0,441257.0
237,Alaska, Wage and salary employment ,358588.0,331865.0,339994.0
238,Alaska, Proprietors employment ,96197.0,98959.0,101263.0
239,Alaska,  Farm proprietors employment ,919.0,918.0,919.0
240,Alaska,  Nonfarm proprietors employment 2/,95278.0,98041.0,100344.0
241,Alaska, Farm employment ,1451.0,1412.0,1516.0
242,Alaska, Nonfarm employment ,453334.0,429412.0,439741.0
243,Alaska,  Private nonfarm employment ,350834.0,328522.0,337908.0
244,Alaska,"   Forestry, fishing, and related activities ",11103.0,,10461.0
245,Alaska,    Forestry and logging ,465.0,413.0,364.0
246,Alaska,"    Fishing, hunting and trapping ",10108.0,9445.0,9545.0
247,Alaska,    Support activities for agriculture and forestry ,530.0,,552.0
248,Alaska,"   Mining, quarrying, and oil and gas extraction ",15310.0,13697.0,12835.0
249,Alaska,    Oil and gas extraction ,3947.0,3586.0,3232.0
250,Alaska,    Mining (except oil and gas) ,4674.0,5228.0,5374.0
251,Alaska,    Support activities for mining ,6689.0,4883.0,4229.0
252,Alaska,   Utilities ,2324.0,2467.0,2661.0
253,Alaska,   Construction ,23499.0,23285.0,23672.0
254,Alaska,    Construction of buildings ,6607.0,6740.0,7028.0
255,Alaska,    Heavy and civil engineering construction ,4892.0,4547.0,4348.0
256,Alaska,    Specialty trade contractors ,12000.0,11998.0,12296.0
257,Alaska,   Manufacturing ,15547.0,,14869.0
258,Alaska,    Durable goods manufacturing ,3463.0,,3461.0
259,Alaska,     Wood product manufacturing ,504.0,473.0,451.0
260,Alaska,     Nonmetallic mineral product manufacturing ,375.0,362.0,350.0
261,Alaska,     Primary metal manufacturing ,35.0,40.0,37.0
262,Alaska,     Fabricated metal product manufacturing ,677.0,639.0,634.0
263,Alaska,     Machinery manufacturing ,122.0,128.0,128.0
264,Alaska,     Computer and electronic product manufacturing ,156.0,159.0,157.0
265,Alaska,"     Electrical equipment, appliance, and component manufacturing ",,,
266,Alaska,"     Motor vehicles, bodies and trailers, and parts manufacturing ",,,90.0
267,Alaska,     Other transportation equipment manufacturing ,,,763.0
268,Alaska,     Furniture and related product manufacturing ,,,
269,Alaska,     Miscellaneous manufacturing ,673.0,647.0,628.0
270,Alaska,    Nondurable goods manufacturing ,12084.0,10955.0,11408.0
271,Alaska,     Food manufacturing ,10023.0,8954.0,9306.0
272,Alaska,     Beverage and tobacco product manufacturing ,653.0,556.0,616.0
273,Alaska,     Textile mills ,,,
274,Alaska,     Textile product mills ,77.0,116.0,
275,Alaska,     Apparel manufacturing ,196.0,229.0,274.0
276,Alaska,     Leather and allied product manufacturing ,,107.0,
277,Alaska,     Paper manufacturing ,,,
278,Alaska,     Printing and related support activities ,383.0,329.0,336.0
279,Alaska,     Petroleum and coal products manufacturing ,,354.0,339.0
280,Alaska,     Chemical manufacturing ,162.0,157.0,165.0
281,Alaska,     Plastics and rubber products manufacturing ,,,
282,Alaska,   Wholesale trade ,7423.0,7072.0,7056.0
283,Alaska,   Retail trade ,43797.0,41886.0,43031.0
284,Alaska,    Motor vehicle and parts dealers ,4365.0,4212.0,4281.0
285,Alaska,    Furniture and home furnishings stores ,851.0,765.0,837.0
286,Alaska,    Electronics and appliance stores ,620.0,569.0,709.0
287,Alaska,    Building material and garden equipment and supplies dealers ,3632.0,3853.0,3951.0
288,Alaska,    Food and beverage stores ,5787.0,5775.0,5505.0
289,Alaska,    Health and personal care stores ,1449.0,1258.0,1285.0
290,Alaska,    Gasoline stations ,1805.0,1714.0,1705.0
291,Alaska,    Clothing and clothing accessories stores ,2227.0,1695.0,1867.0
292,Alaska,"    Sporting goods, hobby, musical instrument, and book stores ",2662.0,2430.0,2635.0
293,Alaska,    General merchandise stores ,10534.0,10189.0,10240.0
294,Alaska,    Miscellaneous store retailers ,5033.0,4628.0,5060.0
295,Alaska,    Nonstore retailers ,4832.0,4798.0,4956.0
296,Alaska,   Transportation and warehousing ,26203.0,24037.0,25668.0
297,Alaska,    Air transportation ,6611.0,5437.0,5748.0
298,Alaska,    Rail transportation ,1.0,1.0,1.0
299,Alaska,    Water transportation ,1389.0,1226.0,1271.0
300,Alaska,    Truck transportation ,3342.0,3175.0,3186.0
301,Alaska,    Transit and ground passenger transportation ,4301.0,3553.0,3632.0
302,Alaska,    Pipeline transportation ,,,
303,Alaska,    Scenic and sightseeing transportation ,2635.0,1079.0,1416.0
304,Alaska,    Support activities for transportation ,2970.0,2719.0,2859.0
305,Alaska,    Couriers and messengers ,,,
306,Alaska,    Warehousing and storage ,611.0,692.0,632.0
307,Alaska,   Information ,6249.0,5956.0,5836.0
308,Alaska,    Publishing industries (except Internet) ,711.0,710.0,715.0
309,Alaska,    Motion picture and sound recording industries ,599.0,403.0,467.0
310,Alaska,    Broadcasting (except Internet) ,758.0,704.0,646.0
311,Alaska,    Internet publishing and broadcasting 3/,,,
312,Alaska,    Telecommunications ,3858.0,3787.0,3644.0
313,Alaska,"    Data processing, hosting, and related services ",198.0,219.0,229.0
314,Alaska,    Other information services 3/,125.0,133.0,135.0
315,Alaska,   Finance and insurance ,11083.0,11771.0,11929.0
316,Alaska,    Monetary Authorities-central bank ,0.0,0.0,0.0
317,Alaska,    Credit intermediation and related activities ,4707.0,4594.0,4481.0
318,Alaska,"    Securities, commodity contracts, and other financial investments and related activities ",,,4409.0
319,Alaska,    Insurance carriers and related activities ,2492.0,2500.0,2390.0
320,Alaska,"    Funds, trusts, and other financial vehicles ",,,649.0
321,Alaska,   Real estate and rental and leasing ,16730.0,17033.0,17480.0
322,Alaska,    Real estate ,13870.0,14298.0,14686.0
323,Alaska,    Rental and leasing services ,,,2758.0
324,Alaska,    Lessors of nonfinancial intangible assets (except copyrighted works) ,,,36.0
325,Alaska,"   Professional, scientific, and technical services ",23153.0,22381.0,22572.0
326,Alaska,   Management of companies and enterprises ,3477.0,3435.0,3666.0
327,Alaska,   Administrative and support and waste management and remediation services ,17296.0,16105.0,16054.0
328,Alaska,    Administrative and support services ,15574.0,14416.0,14547.0
329,Alaska,    Waste management and remediation services ,1722.0,1689.0,1507.0
330,Alaska,   Educational services ,5876.0,4922.0,5140.0
331,Alaska,   Health care and social assistance ,53439.0,52252.0,53227.0
332,Alaska,    Ambulatory health care services ,24353.0,24526.0,25296.0
333,Alaska,    Hospitals ,13563.0,12925.0,12959.0
334,Alaska,    Nursing and residential care facilities ,4264.0,4306.0,4279.0
335,Alaska,    Social assistance ,11259.0,10495.0,10693.0
336,Alaska,"   Arts, entertainment, and recreation ",10751.0,8852.0,9452.0
337,Alaska,"    Performing arts, spectator sports, and related industries ",5076.0,4632.0,4750.0
338,Alaska,"    Museums, historical sites, and similar institutions ",474.0,285.0,343.0
339,Alaska,"    Amusement, gambling, and recreation industries ",5201.0,3935.0,4359.0
340,Alaska,   Accommodation and food services ,36771.0,28850.0,32497.0
341,Alaska,    Accommodation ,12611.0,8899.0,10279.0
342,Alaska,    Food services and drinking places ,24160.0,19951.0,22218.0
343,Alaska,   Other services (except government and government enterprises) ,20803.0,19689.0,19802.0
344,Alaska,    Repair and maintenance ,4865.0,4872.0,4929.0
345,Alaska,    Personal and laundry services ,6091.0,5717.0,5809.0
346,Alaska,"    Religious, grantmaking, civic, professional, and similar organizations ",7946.0,7505.0,7461.0
347,Alaska,    Private households ,1901.0,1595.0,1603.0
348,Alaska,  Government and government enterprises ,102500.0,100890.0,101833.0
349,Alaska,   Federal civilian ,14863.0,15438.0,15082.0
350,Alaska,   Military ,25929.0,26561.0,27233.0
351,Alaska,   State and local ,61708.0,58891.0,59518.0
352,Alaska,    State government ,23226.0,22625.0,22871.0
353,Alaska,    Local government ,38482.0,36266.0,36647.0
354,Arizona,Total employment (number of jobs) ,3929985.0,3920036.0,4055932.0
355,Arizona, Wage and salary employment ,3056442.0,2967819.0,3076770.0
356,Arizona, Proprietors employment ,873543.0,952217.0,979162.0
357,Arizona,  Farm proprietors employment ,17856.0,17845.0,17856.0
358,Arizona,  Nonfarm proprietors employment 2/,855687.0,934372.0,961306.0
359,Arizona, Farm employment ,29799.0,30310.0,29309.0
360,Arizona, Nonfarm employment ,3900186.0,3889726.0,4026623.0
361,Arizona,  Private nonfarm employment ,3440010.0,3437543.0,3580381.0
362,Arizona,"   Forestry, fishing, and related activities ",15624.0,14624.0,13832.0
363,Arizona,    Forestry and logging ,385.0,358.0,369.0
364,Arizona,"    Fishing, hunting and trapping ",829.0,782.0,794.0
365,Arizona,    Support activities for agriculture and forestry ,14410.0,13484.0,12669.0
366,Arizona,"   Mining, quarrying, and oil and gas extraction ",19193.0,18519.0,17894.0
367,Arizona,    Oil and gas extraction ,4374.0,4391.0,4065.0
368,Arizona,    Mining (except oil and gas) ,13675.0,13009.0,12831.0
369,Arizona,    Support activities for mining ,1144.0,1119.0,998.0
370,Arizona,   Utilities ,12959.0,12743.0,12720.0
371,Arizona,   Construction ,234518.0,244946.0,253184.0
372,Arizona,    Construction of buildings ,47909.0,50535.0,53001.0
373,Arizona,    Heavy and civil engineering construction ,22963.0,23190.0,22590.0
374,Arizona,    Specialty trade contractors ,163646.0,171221.0,177593.0
375,Arizona,   Manufacturing ,191002.0,191561.0,195722.0
376,Arizona,    Durable goods manufacturing ,143498.0,144246.0,145968.0
377,Arizona,     Wood product manufacturing ,5338.0,5337.0,5496.0
378,Arizona,     Nonmetallic mineral product manufacturing ,8034.0,8114.0,8505.0
379,Arizona,     Primary metal manufacturing ,4191.0,3926.0,3973.0
380,Arizona,     Fabricated metal product manufacturing ,22383.0,22928.0,23476.0
381,Arizona,     Machinery manufacturing ,8585.0,8456.0,8609.0
382,Arizona,     Computer and electronic product manufacturing ,33593.0,34626.0,33483.0
383,Arizona,"     Electrical equipment, appliance, and component manufacturing ",3743.0,3497.0,3765.0
384,Arizona,"     Motor vehicles, bodies and trailers, and parts manufacturing ",3713.0,3641.0,5109.0
385,Arizona,     Other transportation equipment manufacturing ,31343.0,31439.0,30680.0
386,Arizona,     Furniture and related product manufacturing ,7174.0,6866.0,7206.0
387,Arizona,     Miscellaneous manufacturing ,15401.0,15416.0,15666.0
388,Arizona,    Nondurable goods manufacturing ,47504.0,47315.0,49754.0
389,Arizona,     Food manufacturing ,15323.0,14654.0,15124.0
390,Arizona,     Beverage and tobacco product manufacturing ,4928.0,5241.0,5766.0
391,Arizona,     Textile mills ,258.0,263.0,251.0
392,Arizona,     Textile product mills ,838.0,1046.0,1131.0
393,Arizona,     Apparel manufacturing ,1163.0,1347.0,1500.0
394,Arizona,     Leather and allied product manufacturing ,544.0,407.0,410.0
395,Arizona,     Paper manufacturing ,2367.0,2457.0,2534.0
396,Arizona,     Printing and related support activities ,7277.0,6873.0,6860.0
397,Arizona,     Petroleum and coal products manufacturing ,262.0,293.0,307.0
398,Arizona,     Chemical manufacturing ,8760.0,8718.0,9463.0
399,Arizona,     Plastics and rubber products manufacturing ,5784.0,6016.0,6408.0
400,Arizona,   Wholesale trade ,111641.0,111657.0,115142.0
401,Arizona,   Retail trade ,393080.0,392965.0,413565.0
402,Arizona,    Motor vehicle and parts dealers ,53015.0,52617.0,56419.0
403,Arizona,    Furniture and home furnishings stores ,11097.0,10591.0,11573.0
404,Arizona,    Electronics and appliance stores ,10426.0,10139.0,9216.0
405,Arizona,    Building material and garden equipment and supplies dealers ,27630.0,30359.0,32226.0
406,Arizona,    Food and beverage stores ,61792.0,64464.0,64930.0
407,Arizona,    Health and personal care stores ,23847.0,23186.0,24538.0
408,Arizona,    Gasoline stations ,18229.0,17849.0,18199.0
409,Arizona,    Clothing and clothing accessories stores ,24798.0,19748.0,21209.0
410,Arizona,"    Sporting goods, hobby, musical instrument, and book stores ",13993.0,12926.0,13997.0
411,Arizona,    General merchandise stores ,65173.0,64719.0,68462.0
412,Arizona,    Miscellaneous store retailers ,36279.0,35589.0,38108.0
413,Arizona,    Nonstore retailers ,46801.0,50778.0,54688.0
414,Arizona,   Transportation and warehousing ,177831.0,203827.0,224294.0
415,Arizona,    Air transportation ,15072.0,13987.0,13686.0
416,Arizona,    Rail transportation ,,,
417,Arizona,    Water transportation ,56.0,60.0,
418,Arizona,    Truck transportation ,35327.0,36391.0,37942.0
419,Arizona,    Transit and ground passenger transportation ,46022.0,40840.0,39635.0
420,Arizona,    Pipeline transportation ,521.0,526.0,471.0
421,Arizona,    Scenic and sightseeing transportation ,1077.0,835.0,889.0
422,Arizona,    Support activities for transportation ,15677.0,15402.0,16133.0
423,Arizona,    Couriers and messengers ,,,62910.0
424,Arizona,    Warehousing and storage ,28876.0,39668.0,50574.0
425,Arizona,   Information ,60273.0,57227.0,59769.0
426,Arizona,    Publishing industries (except Internet) ,12122.0,13399.0,14464.0
427,Arizona,    Motion picture and sound recording industries ,8312.0,5147.0,5427.0
428,Arizona,    Broadcasting (except Internet) ,4699.0,4497.0,4491.0
429,Arizona,    Internet publishing and broadcasting 3/,,,
430,Arizona,    Telecommunications ,19100.0,18496.0,18120.0
431,Arizona,"    Data processing, hosting, and related services ",11977.0,11893.0,13078.0
432,Arizona,    Other information services 3/,4063.0,3795.0,4189.0
433,Arizona,   Finance and insurance ,255618.0,279780.0,290236.0
434,Arizona,    Monetary Authorities-central bank ,64.0,82.0,114.0
435,Arizona,    Credit intermediation and related activities ,93380.0,97391.0,104399.0
436,Arizona,"    Securities, commodity contracts, and other financial investments and related activities ",69218.0,80953.0,86621.0
437,Arizona,    Insurance carriers and related activities ,82834.0,88169.0,84720.0
438,Arizona,"    Funds, trusts, and other financial vehicles ",10122.0,13185.0,14382.0
439,Arizona,   Real estate and rental and leasing ,208364.0,228281.0,234832.0
440,Arizona,    Real estate ,187267.0,209916.0,216367.0
441,Arizona,    Rental and leasing services ,20194.0,17769.0,17879.0
442,Arizona,    Lessors of nonfinancial intangible assets (except copyrighted works) ,903.0,596.0,586.0
443,Arizona,"   Professional, scientific, and technical services ",256832.0,260112.0,269961.0
444,Arizona,   Management of companies and enterprises ,38779.0,42258.0,44165.0
445,Arizona,   Administrative and support and waste management and remediation services ,325226.0,308238.0,313831.0
446,Arizona,    Administrative and support services ,317605.0,300806.0,305753.0
447,Arizona,    Waste management and remediation services ,7621.0,7432.0,8078.0
448,Arizona,   Educational services ,86778.0,80763.0,85070.0
449,Arizona,   Health care and social assistance ,450615.0,451053.0,459980.0
450,Arizona,    Ambulatory health care services ,205802.0,210711.0,219043.0
451,Arizona,    Hospitals ,101030.0,100948.0,101272.0
452,Arizona,    Nursing and residential care facilities ,62970.0,62131.0,59238.0
453,Arizona,    Social assistance ,80813.0,77263.0,80427.0
454,Arizona,"   Arts, entertainment, and recreation ",87914.0,75527.0,81541.0
455,Arizona,"    Performing arts, spectator sports, and related industries ",46700.0,42852.0,44638.0
456,Arizona,"    Museums, historical sites, and similar institutions ",3248.0,2530.0,2625.0
457,Arizona,"    Amusement, gambling, and recreation industries ",37966.0,30145.0,34278.0
458,Arizona,   Accommodation and food services ,308389.0,266680.0,293749.0
459,Arizona,    Accommodation ,51177.0,38646.0,40610.0
460,Arizona,    Food services and drinking places ,257212.0,228034.0,253139.0
461,Arizona,   Other services (except government and government enterprises) ,205374.0,196782.0,200894.0
462,Arizona,    Repair and maintenance ,49475.0,49719.0,51349.0
463,Arizona,    Personal and laundry services ,81574.0,78771.0,82164.0
464,Arizona,"    Religious, grantmaking, civic, professional, and similar organizations ",45249.0,43414.0,42030.0
465,Arizona,    Private households ,29076.0,24878.0,25351.0
466,Arizona,  Government and government enterprises ,460176.0,452183.0,446242.0
467,Arizona,   Federal civilian ,56544.0,58974.0,57559.0
468,Arizona,   Military ,35006.0,35715.0,35387.0
469,Arizona,   State and local ,368626.0,357494.0,353296.0
470,Arizona,    State government ,94657.0,95516.0,95009.0
471,Arizona,    Local government ,273969.0,261978.0,258287.0
472,Arkansas,Total employment (number of jobs) ,1664214.0,1640442.0,1675644.0
473,Arkansas, Wage and salary employment ,1308721.0,1260663.0,1287757.0
474,Arkansas, Proprietors employment ,355493.0,379779.0,387887.0
475,Arkansas,  Farm proprietors employment ,38277.0,38163.0,38004.0
476,Arkansas,  Nonfarm proprietors employment 2/,317216.0,341616.0,349883.0
477,Arkansas, Farm employment ,56536.0,55092.0,53788.0
478,Arkansas, Nonfarm employment ,1607678.0,1585350.0,1621856.0
479,Arkansas,  Private nonfarm employment ,1382536.0,1363263.0,1401177.0
480,Arkansas,"   Forestry, fishing, and related activities ",14404.0,14464.0,14136.0
481,Arkansas,    Forestry and logging ,4378.0,4278.0,4259.0
482,Arkansas,"    Fishing, hunting and trapping ",924.0,879.0,892.0
483,Arkansas,    Support activities for agriculture and forestry ,9102.0,9307.0,8985.0
484,Arkansas,"   Mining, quarrying, and oil and gas extraction ",9493.0,9304.0,8749.0
485,Arkansas,    Oil and gas extraction ,5511.0,5368.0,4880.0
486,Arkansas,    Mining (except oil and gas) ,2327.0,2424.0,2468.0
487,Arkansas,    Support activities for mining ,1655.0,1512.0,1401.0
488,Arkansas,   Utilities ,8131.0,8260.0,7958.0
489,Arkansas,   Construction ,92262.0,97511.0,101539.0
490,Arkansas,    Construction of buildings ,19477.0,20857.0,21231.0
491,Arkansas,    Heavy and civil engineering construction ,10594.0,10834.0,11556.0
492,Arkansas,    Specialty trade contractors ,62191.0,65820.0,68752.0
493,Arkansas,   Manufacturing ,167828.0,160488.0,162786.0
494,Arkansas,    Durable goods manufacturing ,80463.0,75756.0,78153.0
495,Arkansas,     Wood product manufacturing ,10174.0,9924.0,10536.0
496,Arkansas,     Nonmetallic mineral product manufacturing ,3986.0,3878.0,3783.0
497,Arkansas,     Primary metal manufacturing ,8630.0,7690.0,7887.0
498,Arkansas,     Fabricated metal product manufacturing ,15542.0,14648.0,15515.0
499,Arkansas,     Machinery manufacturing ,12327.0,11580.0,11844.0
500,Arkansas,     Computer and electronic product manufacturing ,2010.0,1841.0,1799.0
501,Arkansas,"     Electrical equipment, appliance, and component manufacturing ",4532.0,4261.0,4391.0
502,Arkansas,"     Motor vehicles, bodies and trailers, and parts manufacturing ",,,
503,Arkansas,     Other transportation equipment manufacturing ,,,
504,Arkansas,     Furniture and related product manufacturing ,3864.0,3551.0,3711.0
505,Arkansas,     Miscellaneous manufacturing ,4034.0,4148.0,4308.0
506,Arkansas,    Nondurable goods manufacturing ,87365.0,84732.0,84633.0
507,Arkansas,     Food manufacturing ,49809.0,50040.0,49827.0
508,Arkansas,     Beverage and tobacco product manufacturing ,1574.0,1540.0,1719.0
509,Arkansas,     Textile mills ,158.0,167.0,173.0
510,Arkansas,     Textile product mills ,951.0,831.0,816.0
511,Arkansas,     Apparel manufacturing ,1110.0,931.0,967.0
512,Arkansas,     Leather and allied product manufacturing ,1239.0,1058.0,1010.0
513,Arkansas,     Paper manufacturing ,9803.0,8979.0,8648.0
514,Arkansas,     Printing and related support activities ,4160.0,3645.0,3528.0
515,Arkansas,     Petroleum and coal products manufacturing ,1310.0,1183.0,1195.0
516,Arkansas,     Chemical manufacturing ,6186.0,6064.0,5983.0
517,Arkansas,     Plastics and rubber products manufacturing ,11065.0,10294.0,10767.0
518,Arkansas,   Wholesale trade ,51649.0,50670.0,52087.0
519,Arkansas,   Retail trade ,166511.0,167575.0,173530.0
520,Arkansas,    Motor vehicle and parts dealers ,22160.0,21841.0,22262.0
521,Arkansas,    Furniture and home furnishings stores ,4049.0,3792.0,3964.0
522,Arkansas,    Electronics and appliance stores ,3391.0,3192.0,3192.0
523,Arkansas,    Building material and garden equipment and supplies dealers ,12468.0,13094.0,13693.0
524,Arkansas,    Food and beverage stores ,20625.0,21799.0,22136.0
